window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
145.0,55.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
150.0,60.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
155.0,65.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
160.0,70.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
165.0,75.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
170.0,80.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
175.0,85.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
180.0,90.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
185.0,95.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
190.0,100.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
195.0,105.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
200.0,110.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
205.0,115.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
210.0,120.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
215.0,125.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
220.0,130.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
225.0,135.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
230.0,140.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
235.0,145.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
240.0,150.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
245.0,155.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
250.0,160.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
255.0,165.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
260.0,170.0,550,-12.5416821078331,50.0,260.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
265.0,175.0,550,-11.9724268388185,55.0,265.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
270.0,180.0,550,-11.2093728442688,55.0,270.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
275.0,185.0,550,-10.2058039351936,55.0,275.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
280.0,190.0,550,-9.01638196001403,55.0,280.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
285.0,195.0,550,-7.65806435031172,55.0,285.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
290.0,200.0,550,-6.6471086531862,45.0,190.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
295.0,205.0,550,-6.6471086531862,45.0,190.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
300.0,210.0,550,-6.6471086531862,45.0,190.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
305.0,215.0,550,-6.6471086531862,45.0,190.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
310.0,220.0,550,-6.6471086531862,45.0,190.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
315.0,225.0,550,-7.08899829771816,50.0,225.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
320.0,230.0,550,-8.17158963870798,50.0,230.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
325.0,235.0,550,-9.43538382206554,50.0,235.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
330.0,240.0,550,-10.8100078587932,50.0,240.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
335.0,245.0,550,-12.1354862212347,50.0,245.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
340.0,250.0,550,-13.0830017862382,50.0,250.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
345.0,255.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
350.0,260.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
355.0,265.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
0.0,270.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
5.0,275.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
10.0,280.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
15.0,285.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
20.0,290.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
25.0,295.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
30.0,300.0,550,-9.74825174058242,55.0,250.0,3.309827390966,45.0,30.0,edgeifa_s17_h5p4_l5p4_f0p95_g0p20_patch7p4,3
