window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
25.0,295.0,140,-3.69501759310219,90.0,90.0,4.83813016524402,45.0,25.0,h4p5_l10p4_w8p6_feed1p65,4
30.0,300.0,130,-3.69501759310219,90.0,90.0,4.82796770635188,45.0,30.0,h4p5_l10p4_w8p6_feed1p65,4
35.0,305.0,120,-3.69501759310219,90.0,90.0,4.80433808299066,45.0,35.0,h4p5_l10p4_w8p6_feed1p65,4
40.0,310.0,110,-3.69501759310219,90.0,90.0,4.76660959213115,45.0,40.0,h4p5_l10p4_w8p6_feed1p65,4
45.0,315.0,100,-3.69501759310219,90.0,90.0,4.71509496557783,45.0,45.0,h4p5_l10p4_w8p6_feed1p65,4
50.0,320.0,90,-3.69501759310219,90.0,90.0,4.65107412478967,45.0,50.0,h4p5_l10p4_w8p6_feed1p65,4
55.0,325.0,80,-3.69501759310219,90.0,90.0,4.57657378922754,45.0,55.0,h4p5_l10p4_w8p6_feed1p65,4
60.0,330.0,70,-3.69501759310219,90.0,90.0,4.49389422813897,45.0,60.0,h4p5_l10p4_w8p6_feed1p65,4
65.0,335.0,60,-3.69501759310219,90.0,90.0,4.4049667119842,45.0,65.0,h4p5_l10p4_w8p6_feed1p65,4
70.0,340.0,50,-3.69501759310219,90.0,90.0,4.31070658630932,45.0,70.0,h4p5_l10p4_w8p6_feed1p65,4
75.0,345.0,40,-3.69501759310219,90.0,90.0,4.21056366876349,45.0,75.0,h4p5_l10p4_w8p6_feed1p65,4
80.0,350.0,30,-3.69501759310219,90.0,90.0,4.10243338046951,45.0,80.0,h4p5_l10p4_w8p6_feed1p65,4
85.0,355.0,20,-3.69501759310219,90.0,90.0,3.98297563152619,45.0,85.0,h4p5_l10p4_w8p6_feed1p65,4
90.0,0.0,20,-3.69501759310219,90.0,90.0,4.75329817269547,45.0,0.0,h4p5_l10p4_w8p6_feed1p65,4
0.0,270.0,190,-3.1857431228105,90.0,90.0,5.54874887263356,45.0,0.0,h5p0_l8p8_w9p6_feed1p10_wide,5
5.0,275.0,180,-3.1857431228105,90.0,90.0,5.54273535388534,45.0,5.0,h5p0_l8p8_w9p6_feed1p10_wide,5
10.0,280.0,170,-3.1857431228105,90.0,90.0,5.52182238632002,45.0,10.0,h5p0_l8p8_w9p6_feed1p10_wide,5
