"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
50,8,90,-3778.06421961603,90,4395.89087437551,90,-821.248759279853,90,1191.66045555232
55,8,0,-53.8173450675273,0,36.0920671696719,0,-4189.43426365639,0,2233.55085767705
55,8,5,-307.581040129172,5,360.797081855143,5,-4170.69098119632,5,2227.53879096004
55,8,10,-551.703872690538,10,685.675347400101,10,-4132.31020680477,10,2212.08613805388
55,8,15,-788.867862316219,15,1008.16309325751,15,-4077.12389580506,15,2191.30665639789
55,8,20,-1025.3451281974,20,1325.82942782868,20,-4006.95980481339,20,2168.98764023533
55,8,25,-1268.37272596532,25,1636.32596770435,25,-3921.81779957865,25,2146.85701921996
55,8,30,-1522.56554366007,30,1937.4587427368,30,-3819.87072283467,30,2123.92671478998
55,8,35,-1787.01114914564,35,2227.54729634028,35,-3698.19720793754,35,2097.16346076405
55,8,40,-2054.51900480994,40,2505.93235880066,40,-3553.78515686238,40,2063.03598680568
55,8,45,-2313.5191559438,45,2773.22503446922,45,-3384.29645866113,45,2019.05047554531
55,8,50,-2551.80470350087,50,3030.91555164499,50,-3188.35903230396,50,1964.47874226027
55,8,55,-2760.41470859832,55,3280.32011722774,55,-2965.5089204021,55,1900.02848355181
55,8,60,-2935.96392484675,60,3521.30058464692,60,-2716.06335457666,60,1826.82956642792
55,8,65,-3080.59253569082,65,3751.40459699961,65,-2441.09162109378,65,1745.42099006804
55,8,70,-3199.88731601023,70,3965.88092391128,70,-2142.43570014763,70,1655.28131361433
55,8,75,-3299.9581888741,75,4158.56220934202,75,-1822.6414863168,75,1555.02302772043
55,8,80,-3384.97453640062,80,4323.18472648395,80,-1484.75756378381,80,1442.97590178256
55,8,85,-3455.95430790411,85,4454.57264481778,85,-1132.1180725785,85,1317.73402803434
55,8,90,-3510.85122510159,90,4549.27713903543,90,-768.286515207146,90,1178.36429755357
60,8,0,-58.7295847752458,0,36.1211950596256,0,-3935.21188686803,0,2253.90045839926
60,8,5,-292.31455119922,5,369.25208930478,5,-3908.16955953321,5,2241.7756602002
60,8,10,-510.275516107782,10,701.779580451258,10,-3859.84167178779,10,2217.2940918559
60,8,15,-714.405859633698,15,1031.04466664256,15,-3795.35066297158,15,2187.34436847463
60,8,20,-912.671059325811,20,1355.07403882023,20,-3719.21137804759,20,2158.40277788951
60,8,25,-1116.11326037969,25,1672.25478115423,25,-3633.76145718313,25,2133.87676151392
60,8,30,-1333.85486614671,30,1981.01360711802,30,-3538.4844871614,30,2112.93655325091
60,8,35,-1568.39071725971,35,2279.90281767594,35,-3430.36424669844,35,2091.30117775678
60,8,40,-1813.48721402673,40,2568.07772262618,40,-3304.93359033667,40,2063.43920230353
60,8,45,-2055.88445622592,45,2845.69786356431,45,-3157.48333640755,45,2024.94242682637
60,8,50,-2280.1014845119,50,3113.7077592248,50,-2984.04514283153,50,1973.8677284599
60,8,55,-2474.04451612177,55,3372.86437169586,55,-2782.05108910744,55,1910.5695166945
60,8,60,-2632.7808323057,60,3622.46475357727,60,-2550.7258206338,60,1836.44824033923
60,8,65,-2758.94297020859,65,3859.51385359396,65,-2291.21325713402,65,1752.53796975626
60,8,70,-2860.04193293559,70,4078.83717197781,70,-2006.35223037978,70,1658.72427546678
60,8,75,-2944.39941323967,75,4274.08529289082,75,-1700.08316318234,75,1553.84300499046
60,8,80,-3017.72624356204,80,4439.10951437931,80,-1376.67431596151,80,1436.36996131772
60,8,85,-3081.60039900645,85,4569.08661727303,85,-1040.10927116371,85,1305.16019737038
60,8,90,-3133.86544236495,90,4661.01121084624,90,-693.924928769407,90,1159.78731681749
65,8,0,-58.6862071522595,0,37.7578134289102,0,-3628.06844514471,0,2290.56648464527
65,8,5,-267.552324643573,5,378.280739693248,5,-3595.43528126968,5,2270.35791252738
65,8,10,-455.474542718574,10,716.409826794648,10,-3539.29458627363,10,2234.66262877169
65,8,15,-622.713318959069,15,1049.1754785621,15,-3466.56626269342,15,2193.25127316164
65,8,20,-778.20683213781,20,1375.26967826533,20,-3384.34387579732,20,2155.51863155268
65,8,25,-936.340785248004,25,1694.39871863334,25,-3297.63934523224,25,2126.88297721177
65,8,30,-1110.77707421938,30,2006.35603231808,30,-3207.87804789541,30,2106.98138711324
65,8,35,-1307.89401428892,35,2310.5362866977,35,-3112.58684010683,35,2090.40704978546
65,8,40,-1523.03219914933,40,2606.12943372086,40,-3006.2228507862,40,2069.46356568348
65,8,45,-1741.6725939733,45,2892.58240695314,45,-2881.72774879057,45,2037.40955026051
65,8,50,-1945.18857428361,50,3169.66571701789,50,-2732.3058177852,50,1990.57050140052
65,8,55,-2118.31831956885,55,3436.85306696922,55,-2553.01971707949,55,1928.53590919389
65,8,60,-2254.60562237226,60,3692.36941311254,60,-2341.88897064549,60,1852.81762153894
65,8,65,-2357.3473195086,65,3932.60498802592,65,-2100.22572775591,65,1765.05921644172
65,8,70,-2436.18027188507,70,4152.35836543033,70,-1832.08375121657,70,1665.83147125047
65,8,75,-2501.66225950277,75,4345.80750357425,75,-1543.00601426129,75,1554.46205387977
65,8,80,-2560.78839761605,80,4507.6840032942,80,-1238.58311689168,80,1429.69598768792
65,8,85,-2615.26182485045,85,4634.10296238231,85,-923.426531760817,85,1290.60254451872
65,8,90,-2662.46342491315,90,4722.78362628012,90,-600.9302166574,90,1137.13112985559
70,8,0,-54.2249414024537,0,40.0933005354966,0,-3276.71502600652,0,2333.72860312409
70,8,5,-232.481846625485,5,387.046027285286,5,-3242.16931541399,5,2305.30127267557
70,8,10,-386.013575718886,10,728.989687052763,10,-3181.89483217724,10,2258.36633502396
70,8,15,-513.261825191402,15,1062.31071378373,15,-3103.79275014749,15,2205.1416201906
70,8,20,-623.323318224404,20,1386.40354894566,20,-3017.01082477361,20,2157.69420808516
70,8,25,-732.970247700435,25,1702.73590615332,25,-2929.1833817874,25,2123.55481123364
70,8,30,-859.763266710067,30,2013.17157645727,30,-2844.06729574878,30,2103.22733429652
70,8,35,-1013.88389596787,35,2318.62319881796,35,-2760.34570135012,35,2090.64592137702
70,8,40,-1192.64066484412,40,2618.65554205122,40,-2671.96427696585,40,2076.21101624716
70,8,45,-1380.83615361568,45,2911.84422227273,45,-2569.85561362047,45,2050.75743921818
70,8,50,-1557.21563925756,50,3196.20672363798,50,-2444.50277398802,50,2008.49682943262
70,8,55,-1703.72418260299,55,3469.22329422392,55,-2288.57833633415,55,1947.80310780978
70,8,60,-1812.65269675841,60,3727.55657686,60,-2098.86391043134,60,1870.02734421224
70,8,65,-1888.14766272247,65,3966.94441545965,65,-1876.83965788398,65,1777.4525632006
70,8,70,-1942.00920769205,70,4182.57974452514,70,-1627.78368444119,70,1671.60593351727
70,8,75,-1986.84011840206,75,4369.85204126592,75,-1358.82562735787,75,1552.62986379262
70,8,80,-2030.50894600136,80,4525.04973976427,80,-1076.83595648874,80,1419.72257490818
70,8,85,-2074.35245966275,85,4645.6930012086,85,-787.013809470342,85,1272.1309113491
70,8,90,-2114.92965004519,90,4730.41906096303,90,-492.5912963675,90,1109.97781039969
75,8,0,-46.3493773614403,0,42.2880756102151,0,-2890.018782994,0,2373.06775737437
75,8,5,-187.311920524089,5,393.838454420919,5,-2857.22664056618,5,2338.08551805657
75,8,10,-301.791951341885,10,737.359090118693,10,-2796.9845787666,10,2282.04253835675
75,8,15,-386.525477771961,15,1068.2791111864,15,-2717.302415127,15,2218.69686098787
75,8,20,-450.052721990919,20,1386.58108601496,20,-2628.63984232369,20,2162.08181611438
75,8,25,-510.313288646347,25,1695.68712614947,25,-2540.86839068971,25,2121.65379260369
75,8,30,-587.600649080476,30,2000.00320368522,30,-2460.13434398544,30,2099.17209255529
75,8,35,-695.271216498935,35,2302.51359260899,35,-2386.69726195671,35,2088.63812097208
75,8,40,-832.684712801913,40,2603.51556455885,40,-2314.58502423865,40,2079.22107804212
75,8,45,-984.597754835943,45,2900.6834293189,45,-2233.2941613322,45,2059.63001177119
75,8,50,-1127.97254399885,50,3189.8889911782,50,-2131.01443297115,50,2021.81225251527
75,8,55,-1242.70650119277,55,3466.09903433727,55,-1998.26636977536,55,1962.50995977098
75,8,60,-1320.30070604751,60,3724.06723013604,60,-1830.64523415788,60,1882.52906860409
75,8,65,-1365.87832322124,65,3958.8904889172,65,-1629.69214104717,65,1784.66053020585
