"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
20,8,75,751.780491603807,75,-3831.96400009545,75,71.9130275542332,75,-79.4544863959357
20,8,80,756.573649479206,80,-3834.63608349374,80,74.2921337111785,80,-77.6577674340763
20,8,85,762.607173611633,85,-3837.3485003733,85,75.0971709249979,85,-75.5889190251363
20,8,90,769.559870912159,90,-3840.27813440178,90,74.0837824899893,90,-73.0936490351811
25,8,0,834.309906891917,0,-4231.46816255251,0,45.2520701376826,0,-13.8049494366537
25,8,5,841.949944268343,5,-4237.84784569925,5,45.6444878100824,5,-29.499707325099
25,8,10,850.169679533171,10,-4247.78417656653,10,45.0163887992077,10,-43.8013282371604
25,8,15,858.318384089982,15,-4260.54361432051,15,43.4880682063155,15,-55.9677885108935
25,8,20,865.702370210767,20,-4275.15438457113,20,41.3577529733107,20,-65.5447603704051
25,8,25,871.680026457971,25,-4290.51995136449,25,39.0547951688616,25,-72.3803429641028
25,8,30,875.75158618236,30,-4305.54035446113,30,37.0691327910912,30,-76.6004765799355
25,8,35,877.634157497253,35,-4319.22795713074,35,35.8704772513228,35,-78.5539963119954
25,8,40,877.312456423973,40,-4330.80553099614,40,35.8318690189269,40,-78.7394253210485
25,8,45,875.056363157859,45,-4339.77704444574,45,37.1707257283163,45,-77.7255501136731
25,8,50,871.399269582598,50,-4345.96445182726,50,39.9165455766748,50,-76.0753525568338
25,8,55,867.076735774107,55,-4349.50694131745,55,43.9087607537932,55,-74.2796531082555
25,8,60,862.932318052196,60,-4350.82265744466,60,48.8220808789389,60,-72.7044520989157
25,8,65,859.8044458733,65,-4350.53713959549,65,54.2114996926724,65,-71.5550822544944
25,8,70,858.412484480182,70,-4349.38742961064,70,59.566260976699,70,-70.8602879122811
25,8,75,859.260047677629,75,-4348.11506519865,75,64.3621679135848,75,-70.4788794792076
25,8,80,862.569264256334,80,-4347.36358561469,80,68.1044646151603,80,-70.1295961192835
25,8,85,868.252713374946,85,-4347.59560083741,85,70.3580791607614,85,-69.4412045979336
25,8,90,875.922636516024,90,-4349.04075809793,90,70.7667607651666,90,-68.0157334742957
30,8,0,911.536254383822,0,-4527.32947330889,0,51.7474588585965,0,-26.3347527968083
30,8,5,921.478126433553,5,-4536.66135564283,5,54.5755034998567,5,-42.2723596825333
30,8,10,933.407651742813,10,-4550.6753298068,10,55.4069872696601,10,-55.5614441517025
30,8,15,946.270758525535,15,-4568.15448238222,15,54.2059488653888,15,-65.4125500244756
30,8,20,958.855610666942,20,-4587.55130888309,20,51.2734382157088,20,-71.5405335350949
30,8,25,969.930525209612,25,-4607.16618126747,25,47.1875029082219,25,-74.1424517005849
30,8,30,978.391870928616,30,-4625.33877623304,30,42.6968937515107,30,-73.8061696880479
30,8,35,983.414845904935,35,-4640.63209538543,35,38.5901269852195,35,-71.3743341659205
30,8,40,984.589759160982,40,-4651.98893083489,40,35.5650666159341,40,-67.7940126560956
30,8,45,982.016567425193,45,-4658.84323962501,45,34.1232284946045,45,-63.9789661519274
30,8,50,976.328528341182,50,-4661.17298413071,50,34.5070570429763,50,-60.7011483686999
30,8,55,968.626243068617,55,-4659.48608062831,55,36.6881149182375,55,-58.5159918294189
30,8,60,960.32428014092,60,-4654.73784572877,60,40.4017693599984,60,-57.7181894224898
30,8,65,952.936485172706,65,-4648.18769650774,65,45.213144382894,65,-58.3236792172031
30,8,70,947.843328516163,70,-4641.2141839407,70,50.5933267242883,70,-60.0773179375125
30,8,75,946.088243015339,75,-4635.11745048609,75,55.9858799111399,75,-62.4892382775334
30,8,80,948.238945510462,80,-4630.94234932663,80,60.8509300133057,80,-64.9018644948576
30,8,85,954.329553075904,85,-4629.35089140882,85,64.6845757310668,85,-66.5834100399831
30,8,90,963.87854631558,90,-4630.5605228425,90,67.0213951796607,90,-66.8354867874946
35,8,0,972.956448015298,0,-4612.31530137926,0,57.0365367546422,0,-41.4622278087724
35,8,5,983.995891110176,5,-4624.85742441308,5,64.4299254107708,5,-57.0266580459481
35,8,10,998.70983871456,10,-4643.41232841937,10,68.7644282974938,10,-68.2356662462069
35,8,15,1015.78392324466,15,-4666.24476179058,15,69.6657500669433,15,-74.347278628477
35,8,20,1033.60693740388,20,-4691.17326007806,20,67.2956200316028,20,-75.4172830799651
35,8,25,1050.39361468036,25,-4715.79585073205,25,62.2950647804188,25,-72.2113861294402
35,8,30,1064.35306056714,30,-4737.75113109879,30,55.6486291789793,30,-66.0056176230155
35,8,35,1073.91975767331,35,-4754.9923620598,35,48.4980069775219,35,-58.3237433085235
35,8,40,1078.02636715637,40,-4766.04154733746,40,41.9424780739457,40,-50.6725380512805
35,8,45,1076.35563251668,45,-4770.18614660266,45,36.8666457021072,45,-44.3283398702279
35,8,50,1069.48707317681,50,-4767.58330875679,50,33.8299248640435,50,-40.2029325784226
35,8,55,1058.86931837781,55,-4759.24469074834,55,33.0358381180515,55,-38.7860216048768
35,8,60,1046.59891007003,60,-4746.89046924188,60,34.3760083981242,60,-40.1416591797179
35,8,65,1035.05040553016,65,-4732.68563184783,65,37.5219452603009,65,-43.9356170892824
35,8,70,1026.45173535133,70,-4718.90147684686,70,42.0262358690381,70,-49.4848168100879
35,8,75,1022.51157275482,75,-4707.56934658814,75,47.3983073945659,75,-55.8342003446497
35,8,80,1024.17887706802,80,-4700.19850654363,80,53.1363005182344,80,-61.8687094693721
35,8,85,1031.56416522325,85,-4697.60989411242,85,58.7179855159363,85,-66.4569392141516
35,8,90,1044.00152102408,90,-4699.90012885516,90,63.5711308693367,90,-68.6071606842023
40,8,0,1035.14758839458,0,-4518.16049659333,0,58.8249701555651,0,-55.9830339436737
40,8,5,1045.43711982327,5,-4533.52405068693,5,72.575842125893,5,-70.9727607757026
40,8,10,1060.65848727261,10,-4556.27166653644,10,82.3372861521457,10,-79.6362459676485
40,8,15,1079.59767482887,15,-4584.30721405497,15,87.1880827813105,15,-81.352556855358
40,8,20,1100.64885444935,20,-4614.95423168519,20,86.9613099873614,20,-76.6360096934406
40,8,25,1121.80286816025,25,-4645.14788759909,25,82.2204464842727,25,-66.9642936644186
40,8,30,1140.73706782114,30,-4671.72449281347,30,74.1124473448194,30,-54.445250788095
40,8,35,1155.08900953111,35,-4691.80291387645,35,64.1288574820387,35,-41.3950004004606
40,8,40,1162.90786532883,40,-4703.20661150229,40,53.8241982983213,40,-29.9277686160717
40,8,45,1163.16725899658,45,-4704.84378266343,45,44.5538281144082,45,-21.6517981239404
40,8,50,1156.15177101969,50,-4696.9527959415,50,37.2922780050299,50,-17.5200235527433
40,8,55,1143.54350957743,55,-4681.13218344422,55,32.5704753443103,55,-17.8211150279688
40,8,60,1128.13737597814,60,-4660.11214144327,60,30.5295943990871,60,-22.2533968308443
40,8,65,1113.25635471612,65,-4637.28862068457,65,31.046831881288,65,-30.0244548804574
40,8,70,1102.05024705549,70,-4616.11751397175,70,33.8654294113706,70,-39.9536076924802
40,8,75,1096.89010197951,75,-4599.52227020704,75,38.6701695650387,75,-50.5898613415423
