"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
35,8,5,1766.04162720651,5,-1854.16550283213,5,-5272.13695496757,5,-7073.03188159409
35,8,10,1530.64793579064,10,-2198.85548369622,10,-4801.76971994037,10,-7058.71765496887
35,8,15,1391.75273838512,15,-2536.15471489765,15,-4249.81794512979,15,-6959.98862095021
35,8,20,1356.83580379635,20,-2858.31156149417,20,-3638.45826868223,20,-6774.03867026889
35,8,25,1429.46494363602,25,-3155.87314942827,25,-2990.41983924808,25,-6500.70584666818
35,8,30,1610.29536370253,30,-3418.20373629416,30,-2328.21115568093,30,-6143.02367578037
35,8,35,1897.87435093498,35,-3634.07660307986,35,-1673.8425681525,35,-5707.37291597736
35,8,40,2288.93446384085,40,-3792.25525841256,40,-1048.86443247049,40,-5203.33446653145
35,8,45,2778.06370714928,45,-3882.10048922783,45,-474.429235404431,45,-4643.41939853354
35,8,50,3356.9117075078,50,-3894.31964690598,50,28.9098285756368,50,-4042.81357339728
35,8,55,4013.31358435251,55,-3821.95106131333,55,441.827584005472,55,-3419.14794008657
35,8,60,4730.78579928777,60,-3661.54838918922,60,747.252966730908,60,-2792.1677880347
35,8,65,5488.73356710987,65,-3414.36151607664,65,931.581257087926,65,-2183.10857174892
35,8,70,6263.45711643836,70,-3087.19537366384,70,985.768462218247,70,-1613.63553332984
35,8,75,7029.766136977,75,-2692.63300595785,75,906.033476945663,75,-1104.34985017902
35,8,80,7762.82536084436,80,-2248.44017432279,80,694.023371133901,80,-673.03842767999
35,8,85,8439.82551956047,85,-1776.17256321961,85,356.463055812223,85,-332.971499144125
35,8,90,9041.19241515182,90,-1299.20446426599,90,-95.5591918361554,90,-91.5829132240844
40,8,0,2075.61930583527,0,-2111.08795007615,0,-5994.66717627604,0,-6416.644399348
40,8,5,1758.43677178135,5,-2342.35025480019,5,-5612.40223939357,5,-6459.09440316445
40,8,10,1534.34684877827,10,-2572.86811248736,10,-5120.99435021656,10,-6430.24489436726
40,8,15,1413.96727220084,15,-2798.51377150294,15,-4544.31543020932,15,-6322.27146760849
40,8,20,1402.14873488401,20,-3011.81933226927,20,-3907.55142133945,20,-6129.31123645803
