freq_ghz,phi_deg,baseline,linear_pol_deg,theta_deg,reference_pol_deg,raw_pdoa_deg,reference_pdoa_deg,pdoa_bias_vs_pol0_deg,pdoa_lut_correction_deg,corrected_pdoa_deg,corrected_bias_vs_pol0_deg,source_strategy,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,E1-E2,45.000000,50.000000,0.000000,40.288915,43.471495,-3.182580,-3.182580,43.471495,0.000000,calibrated_2x2_vector_correlation,-5.078483,-4.712509,True
7.738000,45.000000,E1-E2,45.000000,55.000000,0.000000,39.748605,44.153552,-4.404947,-4.404947,44.153552,0.000000,calibrated_2x2_vector_correlation,-5.070462,-4.644000,True
7.738000,45.000000,E1-E2,45.000000,60.000000,0.000000,38.865675,44.643384,-5.777709,-5.777709,44.643384,0.000000,calibrated_2x2_vector_correlation,-5.044877,-4.552828,True
7.738000,45.000000,E1-E2,45.000000,65.000000,0.000000,37.579208,44.893199,-7.313991,-7.313991,44.893199,-0.000000,calibrated_2x2_vector_correlation,-4.995264,-4.430964,True
7.738000,45.000000,E1-E2,45.000000,70.000000,0.000000,35.824329,44.872887,-9.048558,-9.048558,44.872887,0.000000,calibrated_2x2_vector_correlation,-4.911117,-4.266038,True
7.738000,45.000000,E1-E2,45.000000,75.000000,0.000000,33.547198,44.571591,-11.024393,-11.024393,44.571591,0.000000,calibrated_2x2_vector_correlation,-4.774782,-4.039554,True
7.738000,45.000000,E1-E2,45.000000,80.000000,0.000000,30.742433,43.996065,-13.253632,-13.253632,43.996065,0.000000,calibrated_2x2_vector_correlation,-4.555770,-3.726235,True
7.738000,45.000000,E1-E2,45.000000,85.000000,0.000000,27.536845,43.167852,-15.631007,-15.631007,43.167852,0.000000,calibrated_2x2_vector_correlation,-4.201168,-3.298254,True
7.738000,45.000000,E1-E2,45.000000,90.000000,0.000000,24.344154,42.120970,-17.776816,-17.776816,42.120970,0.000000,calibrated_2x2_vector_correlation,-3.623970,-2.743026,True
7.738000,45.000000,E1-E2,45.000000,95.000000,0.000000,22.051719,40.900706,-18.848987,-18.848987,40.900706,0.000000,calibrated_2x2_vector_correlation,-2.711765,-2.104764,True
7.738000,45.000000,E1-E2,45.000000,100.000000,0.000000,21.986217,39.562752,-17.576535,-17.576535,39.562752,0.000000,calibrated_2x2_vector_correlation,-1.452240,-1.531208,True
7.738000,45.000000,E1-E2,45.000000,105.000000,0.000000,25.164858,38.170871,-13.006013,-13.006013,38.170871,-0.000000,calibrated_2x2_vector_correlation,-0.302669,-1.231819,True
