freq_ghz,phi_deg,baseline,linear_pol_deg,valid_count,rms_bias_before_deg,mean_abs_bias_before_deg,max_abs_bias_before_deg,rms_bias_after_exact_lut_deg,mean_abs_bias_after_exact_lut_deg,max_abs_bias_after_exact_lut_deg
7.985500,60.000000,E2-E4,45.000000,73,26.302920,21.049060,53.802565,0.000000,0.000000,0.000000
7.985500,60.000000,E2-E4,90.000000,73,54.055048,37.639482,145.139637,0.000000,0.000000,0.000000
7.985500,60.000000,E2-E4,135.000000,73,20.888366,17.429986,39.416090,0.000000,0.000000,0.000000
7.985500,60.000000,E3-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,60.000000,E3-E4,45.000000,73,21.391135,14.336321,52.619172,0.000000,0.000000,0.000000
7.985500,60.000000,E3-E4,90.000000,73,32.375508,19.385382,112.121633,0.000000,0.000000,0.000000
7.985500,60.000000,E3-E4,135.000000,73,22.451084,16.598349,76.048213,0.000000,0.000000,0.000000
7.985500,60.000000,E4-E1,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,60.000000,E4-E1,45.000000,73,27.614811,19.645264,72.060067,0.000000,0.000000,0.000000
7.985500,60.000000,E4-E1,90.000000,73,38.824378,24.632385,134.113814,0.000000,0.000000,0.000000
7.985500,60.000000,E4-E1,135.000000,73,21.967562,19.777347,40.754848,0.000000,0.000000,0.000000
7.985500,75.000000,E1-E2,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,75.000000,E1-E2,45.000000,73,11.682473,9.544739,22.337543,0.000000,0.000000,0.000000
7.985500,75.000000,E1-E2,90.000000,73,17.832482,10.745870,92.730361,0.000000,0.000000,0.000000
7.985500,75.000000,E1-E2,135.000000,73,10.305431,8.019021,24.561676,0.000000,0.000000,0.000000
7.985500,75.000000,E1-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,75.000000,E1-E3,45.000000,73,15.992896,11.423495,43.557936,0.000000,0.000000,0.000000
7.985500,75.000000,E1-E3,90.000000,73,50.305492,31.642976,141.640097,0.000000,0.000000,0.000000
7.985500,75.000000,E1-E3,135.000000,73,24.278888,20.037740,48.059232,0.000000,0.000000,0.000000
7.985500,75.000000,E2-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,75.000000,E2-E3,45.000000,73,22.972959,18.055664,48.446631,0.000000,0.000000,0.000000
7.985500,75.000000,E2-E3,90.000000,73,58.892094,40.569028,177.857673,0.000000,0.000000,0.000000
7.985500,75.000000,E2-E3,135.000000,73,26.481582,19.721387,58.471707,0.000000,0.000000,0.000000
7.985500,75.000000,E2-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,75.000000,E2-E4,45.000000,73,15.828519,13.769918,27.604959,0.000000,0.000000,0.000000
7.985500,75.000000,E2-E4,90.000000,73,46.155258,29.486853,133.342781,0.000000,0.000000,0.000000
7.985500,75.000000,E2-E4,135.000000,73,18.398072,16.228573,32.905429,0.000000,0.000000,0.000000
7.985500,75.000000,E3-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,75.000000,E3-E4,45.000000,73,22.783965,11.105972,78.076524,0.000000,0.000000,0.000000
7.985500,75.000000,E3-E4,90.000000,73,23.570352,14.416777,86.955827,0.000000,0.000000,0.000000
7.985500,75.000000,E3-E4,135.000000,73,14.091509,11.998671,26.957732,0.000000,0.000000,0.000000
7.985500,75.000000,E4-E1,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,75.000000,E4-E1,45.000000,73,15.541652,10.662886,39.730396,0.000000,0.000000,0.000000
7.985500,75.000000,E4-E1,90.000000,73,54.763495,35.749286,176.042374,0.000000,0.000000,0.000000
7.985500,75.000000,E4-E1,135.000000,73,18.120387,14.498611,39.282548,0.000000,0.000000,0.000000
7.985500,90.000000,E1-E2,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,90.000000,E1-E2,45.000000,73,11.621524,8.477755,33.125386,0.000000,0.000000,0.000000
7.985500,90.000000,E1-E2,90.000000,73,41.329144,25.317972,146.475209,0.000000,0.000000,0.000000
7.985500,90.000000,E1-E2,135.000000,73,7.066065,6.389194,12.531156,0.000000,0.000000,0.000000
7.985500,90.000000,E1-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,90.000000,E1-E3,45.000000,73,30.235282,19.564575,66.877797,0.000000,0.000000,0.000000
7.985500,90.000000,E1-E3,90.000000,73,49.006019,22.977827,177.699023,0.000000,0.000000,0.000000
7.985500,90.000000,E1-E3,135.000000,73,14.931693,12.609497,26.746344,0.000000,0.000000,0.000000
7.985500,90.000000,E2-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,90.000000,E2-E3,45.000000,73,34.589838,22.411903,96.963515,0.000000,0.000000,0.000000
7.985500,90.000000,E2-E3,90.000000,73,46.130404,25.683562,164.617853,0.000000,0.000000,0.000000
7.985500,90.000000,E2-E3,135.000000,73,16.770778,11.825025,38.611601,0.000000,0.000000,0.000000
7.985500,90.000000,E2-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,90.000000,E2-E4,45.000000,73,8.582804,7.042834,20.159951,0.000000,0.000000,0.000000
7.985500,90.000000,E2-E4,90.000000,73,31.237258,20.896883,136.619251,0.000000,0.000000,0.000000
7.985500,90.000000,E2-E4,135.000000,73,13.869910,11.177836,26.838210,0.000000,0.000000,0.000000
7.985500,90.000000,E3-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,90.000000,E3-E4,45.000000,73,28.320658,17.119957,83.504515,0.000000,0.000000,0.000000
7.985500,90.000000,E3-E4,90.000000,73,40.891385,24.530836,164.483511,0.000000,0.000000,0.000000
7.985500,90.000000,E3-E4,135.000000,73,12.391188,9.090427,31.401710,0.000000,0.000000,0.000000
7.985500,90.000000,E4-E1,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,90.000000,E4-E1,45.000000,73,6.587719,5.140283,13.196404,0.000000,0.000000,0.000000
7.985500,90.000000,E4-E1,90.000000,73,52.996150,37.096268,178.182812,0.000000,0.000000,0.000000
7.985500,90.000000,E4-E1,135.000000,73,13.093094,10.798163,28.930652,0.000000,0.000000,0.000000
8.233000,45.000000,E1-E2,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,45.000000,E1-E2,45.000000,73,18.550814,15.032464,41.012322,0.000000,0.000000,0.000000
8.233000,45.000000,E1-E2,90.000000,73,55.442745,37.083200,169.304367,0.000000,0.000000,0.000000
8.233000,45.000000,E1-E2,135.000000,73,15.164716,13.057876,32.086422,0.000000,0.000000,0.000000
8.233000,45.000000,E1-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,45.000000,E1-E3,45.000000,73,40.531414,29.083639,150.727825,0.000000,0.000000,0.000000
8.233000,45.000000,E1-E3,90.000000,73,66.591290,55.402823,172.008730,0.000000,0.000000,0.000000
8.233000,45.000000,E1-E3,135.000000,73,48.510195,41.338504,90.338114,0.000000,0.000000,0.000000
8.233000,45.000000,E2-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,45.000000,E2-E3,45.000000,73,35.375823,27.092216,112.247203,0.000000,0.000000,0.000000
8.233000,45.000000,E2-E3,90.000000,73,61.384803,48.580368,168.859787,0.000000,0.000000,0.000000
8.233000,45.000000,E2-E3,135.000000,73,58.154636,45.158242,177.702948,0.000000,0.000000,0.000000
8.233000,45.000000,E2-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,45.000000,E2-E4,45.000000,73,95.379577,75.004870,177.953654,0.000000,0.000000,0.000000
8.233000,45.000000,E2-E4,90.000000,73,89.468917,68.642265,174.212635,0.000000,0.000000,0.000000
8.233000,45.000000,E2-E4,135.000000,73,64.036808,47.461566,171.518300,0.000000,0.000000,0.000000
8.233000,45.000000,E3-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,45.000000,E3-E4,45.000000,73,77.107972,62.869916,178.562090,0.000000,0.000000,0.000000
8.233000,45.000000,E3-E4,90.000000,73,67.585494,54.614802,179.732125,0.000000,0.000000,0.000000
8.233000,45.000000,E3-E4,135.000000,73,59.758928,48.312991,169.131802,0.000000,0.000000,0.000000
8.233000,45.000000,E4-E1,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,45.000000,E4-E1,45.000000,73,64.799590,44.503764,179.033666,0.000000,0.000000,0.000000
8.233000,45.000000,E4-E1,90.000000,73,70.784599,55.448476,177.452726,0.000000,0.000000,0.000000
8.233000,45.000000,E4-E1,135.000000,73,78.850822,64.890283,169.574318,0.000000,0.000000,0.000000
8.233000,60.000000,E1-E2,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,60.000000,E1-E2,45.000000,73,17.299014,14.049693,32.789906,0.000000,0.000000,0.000000
8.233000,60.000000,E1-E2,90.000000,73,51.123263,37.905840,162.753962,0.000000,0.000000,0.000000
8.233000,60.000000,E1-E2,135.000000,73,20.780381,15.099933,58.285840,0.000000,0.000000,0.000000
8.233000,60.000000,E1-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,60.000000,E1-E3,45.000000,73,50.494485,37.853322,110.874520,0.000000,0.000000,0.000000
8.233000,60.000000,E1-E3,90.000000,73,36.658741,30.226980,99.490241,0.000000,0.000000,0.000000
8.233000,60.000000,E1-E3,135.000000,73,23.018337,17.749881,49.460262,0.000000,0.000000,0.000000
8.233000,60.000000,E2-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,60.000000,E2-E3,45.000000,73,60.498613,49.137711,125.451210,0.000000,0.000000,0.000000
8.233000,60.000000,E2-E3,90.000000,73,74.227935,54.382349,179.904071,0.000000,0.000000,0.000000
8.233000,60.000000,E2-E3,135.000000,73,25.825072,19.265087,91.232878,0.000000,0.000000,0.000000
8.233000,60.000000,E2-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,60.000000,E2-E4,45.000000,73,74.359319,57.539620,160.011778,0.000000,0.000000,0.000000
8.233000,60.000000,E2-E4,90.000000,73,76.693008,61.191422,175.595894,0.000000,0.000000,0.000000
8.233000,60.000000,E2-E4,135.000000,73,50.050944,40.038671,138.334965,0.000000,0.000000,0.000000
8.233000,60.000000,E3-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,60.000000,E3-E4,45.000000,73,52.257911,34.960541,162.919572,0.000000,0.000000,0.000000
8.233000,60.000000,E3-E4,90.000000,73,42.102900,25.111956,157.865976,0.000000,0.000000,0.000000
8.233000,60.000000,E3-E4,135.000000,73,48.193070,28.515427,178.527317,0.000000,0.000000,0.000000
8.233000,60.000000,E4-E1,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,60.000000,E4-E1,45.000000,73,49.848673,42.705894,108.835462,0.000000,0.000000,0.000000
8.233000,60.000000,E4-E1,90.000000,73,66.930171,51.842202,176.711445,0.000000,0.000000,0.000000
8.233000,60.000000,E4-E1,135.000000,73,63.753293,49.596132,170.317650,0.000000,0.000000,0.000000
8.233000,75.000000,E1-E2,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,75.000000,E1-E2,45.000000,73,22.489576,19.092343,38.852253,0.000000,0.000000,0.000000
8.233000,75.000000,E1-E2,90.000000,73,43.843736,34.168652,95.460831,0.000000,0.000000,0.000000
8.233000,75.000000,E1-E2,135.000000,73,19.621962,14.619740,47.566853,0.000000,0.000000,0.000000
8.233000,75.000000,E1-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,75.000000,E1-E3,45.000000,73,35.391703,28.798051,86.549686,0.000000,0.000000,0.000000
8.233000,75.000000,E1-E3,90.000000,73,42.285194,33.329611,117.206439,0.000000,0.000000,0.000000
8.233000,75.000000,E1-E3,135.000000,73,25.806784,20.129900,61.188507,0.000000,0.000000,0.000000
8.233000,75.000000,E2-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,75.000000,E2-E3,45.000000,73,53.812990,45.508016,98.814007,0.000000,0.000000,0.000000
8.233000,75.000000,E2-E3,90.000000,73,59.643312,45.937324,176.347084,0.000000,0.000000,0.000000
8.233000,75.000000,E2-E3,135.000000,73,16.843892,12.255452,43.436638,0.000000,0.000000,0.000000
8.233000,75.000000,E2-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.233000,75.000000,E2-E4,45.000000,73,72.738208,52.551071,176.538440,0.000000,0.000000,0.000000
