freq_ghz,source,element,feed,theta_deg,phi_deg,etheta_re,etheta_im,ephi_re,ephi_im,gain_proxy_mag,linpol0_re,linpol0_im,linpol0_mag,linpol0_phase_deg,linpol45_re,linpol45_im,linpol45_mag,linpol45_phase_deg,linpol90_re,linpol90_im,linpol90_mag,linpol90_phase_deg,linpol135_re,linpol135_im,linpol135_mag,linpol135_phase_deg
7.985500,P4A,4,A,320.000000,15.000000,109.911958,-102.472562,-344.308466,1127.864439,1188.784159,109.911958,-102.472562,150.270638,-42.993866,-165.743360,725.061550,743.764151,102.876128,-344.308466,1127.864439,1179.248283,106.976104,-321.182342,869.979637,927.374069,110.263326
7.985500,P4A,4,A,325.000000,15.000000,115.660115,-103.382038,-350.473562,1205.756203,1265.205457,115.660115,-103.382038,155.129327,-41.791729,-166.038181,779.496248,796.983737,102.024692,-350.473562,1205.756203,1255.659086,106.207405,-329.606284,925.700528,982.630027,109.598855
7.985500,P4A,4,A,330.000000,15.000000,107.819323,-108.414688,-348.224023,1269.274706,1325.027169,107.819323,-108.414688,152.901115,-45.157754,-169.991793,820.851990,838.269169,101.700102,-348.224023,1269.274706,1316.175614,105.341559,-322.471342,974.173513,1026.158759,108.315599
7.985500,P4A,4,A,335.000000,15.000000,85.344845,-117.575371,-336.434772,1316.765387,1366.809113,85.344845,-117.575371,145.284928,-54.025097,-177.547390,847.955392,866.343709,101.825913,-336.434772,1316.765387,1359.065650,104.332497,-298.243227,1014.232076,1057.173461,106.386404
7.985500,P4A,4,A,340.000000,15.000000,48.032975,-130.205163,-313.989502,1347.963805,1390.991150,48.032975,-130.205163,138.782388,-69.750870,-188.059664,861.085394,881.382149,102.319860,-313.989502,1347.963805,1384.050515,103.112439,-255.988549,1045.223301,1076.114253,103.761586
7.985500,P4A,4,A,345.000000,15.000000,-3.281184,-144.763427,-279.828488,1364.090556,1400.005087,-3.281184,-144.763427,144.800608,-91.298434,-200.188769,862.194481,885.129858,103.071618,-279.828488,1364.090556,1392.496688,101.592782,-195.548474,1066.920883,1084.693218,100.386068
7.985500,P4A,4,A,350.000000,15.000000,-66.424731,-158.926111,-233.214952,1367.575579,1397.970647,-66.424731,-158.926111,172.249103,-112.682969,-211.877252,854.644235,880.516177,103.923636,-233.214952,1367.575579,1387.318340,99.677650,-117.938496,1079.399696,1085.823739,96.235575
7.985500,P4A,4,A,355.000000,15.000000,-137.670231,-170.032130,-174.194157,1361.471898,1389.896885,-137.670231,-170.032130,218.778468,-128.996118,-220.521424,842.475139,870.858231,104.668321,-174.194157,1361.471898,1372.570338,97.291122,-25.826315,1082.936884,1083.244798,91.366154
7.985500,P4A,4,A,360.000000,15.000000,-211.852011,-175.729599,-104.080096,1348.713968,1380.443480,-211.852011,-175.729599,275.249281,-140.324557,-223.397735,829.425202,858.983535,105.074346,-104.080096,1348.713968,1352.723931,94.412763,76.206252,1077.944384,1080.634762,85.956151
7.985500,P4A,4,A,0.000000,20.000000,220.117028,57.512728,85.219920,-1358.897548,1380.443480,220.117028,57.512728,227.506527,14.643024,215.905827,-920.218032,945.207148,-76.795831,85.219920,-1358.897548,1361.567105,-86.411535,-95.386660,-1001.553311,1006.085309,-95.440368
7.985500,P4A,4,A,5.000000,20.000000,282.675253,53.642790,-14.187249,-1337.072902,1367.752928,282.675253,53.642790,287.720086,10.745151,189.849688,-907.522135,927.167369,-78.184367,-14.187249,-1337.072902,1337.148168,-90.607924,-209.913488,-983.384497,1005.539030,-102.049530
7.985500,P4A,4,A,10.000000,20.000000,335.616002,42.046071,-115.188132,-1308.519318,1356.428061,335.616002,42.046071,338.239520,7.140828,155.866042,-895.531821,908.994755,-80.126656,-115.188132,-1308.519318,1313.579503,-95.030743,-318.766660,-954.993945,1006.789759,-108.458453
7.985500,P4A,4,A,15.000000,20.000000,374.624679,23.932436,-211.871088,-1273.465148,1344.440126,374.624679,23.932436,375.388348,3.655303,115.084168,-883.553054,891.016478,-82.578914,-211.871088,-1273.465148,1290.969729,-99.445988,-414.715134,-917.398630,1006.781450,-114.325611
7.985500,P4A,4,A,20.000000,20.000000,397.300099,1.759089,-298.528914,-1231.334540,1327.838365,397.300099,1.759089,397.303993,0.253682,69.841775,-869.441139,872.241806,-85.407320,-298.528914,-1231.334540,1267.006023,-103.628031,-492.025414,-871.928867,1001.173789,-119.435836
7.985500,P4A,4,A,25.000000,20.000000,403.402682,-21.368897,-370.551593,-1181.213616,1302.215206,403.402682,-21.368897,403.968258,-3.032217,23.229228,-850.354249,850.671468,-88.435234,-370.551593,-1181.213616,1237.971764,-107.416857,-547.268317,-820.134066,985.962726,-123.714837
7.985500,P4A,4,A,30.000000,20.000000,394.579659,-42.427356,-425.034540,-1122.410773,1264.101852,394.579659,-42.427356,396.854114,-6.137175,-21.534853,-823.664940,823.946408,-91.497666,-425.034540,-1122.410773,1200.191778,-110.740676,-579.554758,-763.663598,958.679200,-127.195360
7.985500,P4A,4,A,35.000000,20.000000,373.734933,-59.137880,-460.935861,-1054.898211,1211.795029,373.734933,-59.137880,378.384843,-8.991637,-61.660367,-787.742474,790.152015,-94.475689,-460.935861,-1054.898211,1151.204631,-113.602835,-590.201379,-704.108882,918.752951,-129.970566
7.985500,P4A,4,A,40.000000,20.000000,344.292618,-70.382856,-478.795418,-979.485424,1145.481515,344.292618,-70.382856,351.413081,-11.553640,-95.107842,-742.368980,748.436506,-97.300621,-478.795418,-979.485424,1090.246187,-116.050468,-582.011132,-642.832590,867.162439,-132.157227
7.985500,P4A,4,A,45.000000,20.000000,309.568762,-76.262836,-480.185322,-897.704718,1066.817952,309.568762,-76.262836,318.824150,-13.839347,-120.644126,-688.699062,699.186243,-99.936076,-480.185322,-897.704718,1018.062721,-118.142479,-558.440468,-580.847125,805.753771,-133.873295
7.985500,P4A,4,A,50.000000,20.000000,272.364601,-77.820660,-467.124572,-811.506352,978.256846,272.364601,-77.820660,283.264066,-15.945824,-137.716096,-628.849161,643.752274,-102.352594,-467.124572,-811.506352,936.348186,-119.925872,-522.897809,-518.794128,736.593148,-135.225712
7.985500,P4A,4,A,55.000000,20.000000,234.790146,-76.577663,-441.644067,-722.907078,882.402786,234.790146,-76.577663,246.962651,-18.063926,-146.267810,-565.321082,583.936810,-104.506254,-441.644067,-722.907078,847.138787,-121.421920,-478.311219,-457.023912,661.553080,-136.303770
7.985500,P4A,4,A,60.000000,20.000000,198.261303,-74.071214,-405.576265,-633.706363,781.581698,198.261303,-74.071214,211.646141,-20.485889,-146.593816,-500.474325,521.501962,-106.325823,-405.576265,-633.706363,752.380131,-122.619512,-426.977639,-395.721809,582.156040,-137.175723
7.985500,P4A,4,A,65.000000,20.000000,163.595507,-71.535673,-360.535033,-545.318738,677.671660,163.595507,-71.535673,178.552072,-23.618394,-139.257275,-436.181937,457.872548,-107.706421,-360.535033,-545.318738,653.726270,-123.470505,-370.616259,-335.015218,499.591441,-137.888280
7.985500,P4A,4,A,70.000000,20.000000,131.144534,-69.772379,-307.994655,-458.712850,572.140944,131.144534,-69.772379,148.549903,-28.014165,-125.051920,-373.695489,394.063829,-108.502090,-307.994655,-458.712850,552.519852,-123.878690,-310.518298,-275.022445,414.799902,-138.469061
