"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
50,8,55,-5858.46018789096,55,-1311.69491660755,55,1124.96990804461,55,-4711.16887187097
50,8,60,-5639.35220031277,60,-2197.34042514333,60,1339.06243340068,60,-4375.53821310378
50,8,65,-5326.27683617969,65,-2909.42514282809,65,1437.55165816032,65,-4039.6557985788
50,8,70,-4966.04666228271,70,-3465.72661757033,70,1423.06854012022,70,-3730.7749858441
50,8,75,-4606.36274471528,75,-3894.75691653768,75,1302.72754048216,75,-3462.65112972709
50,8,80,-4292.91934553811,80,-4227.88558717367,80,1087.11121599461,80,-3234.10463824665
50,8,85,-4065.52847322023,85,-4491.72123170819,85,789.867780080288,85,-3029.5334832304
50,8,90,-3953.92245436047,90,-4702.13458048926,90,427.547128639884,90,-2821.89194438183
55,8,0,3984.04743613399,0,7997.0683084102,0,-3443.87229603339,0,1281.93430842202
55,8,5,2318.42153987497,5,8508.33553498396,5,-3327.00471485953,5,-195.29350349291
55,8,10,613.999492542679,10,8525.25755445523,10,-3038.58663591396,10,-1642.03990838359
55,8,15,-1038.34509885277,15,8085.60440157892,15,-2616.07093120114,15,-2940.92095644905
55,8,20,-2557.81492235907,20,7256.94353954276,20,-2095.61607543572,20,-4006.11948858459
55,8,25,-3879.23065493053,25,6125.89248160056,25,-1510.69427262225,25,-4788.44904367976
55,8,30,-4956.63025001167,30,4788.59910254718,30,-893.577092425703,30,-5274.77441471254
55,8,35,-5764.85220198485,35,3343.05806251515,35,-277.279940623059,35,-5482.88514885134
55,8,40,-6299.00031264009,40,1882.69409116262,40,304.342896616478,40,-5453.45774994242
55,8,45,-6571.93949143524,45,490.272880641754,45,819.079907012642,45,-5240.97954868747
55,8,50,-6610.53991533649,50,-768.196464019185,50,1240.20135153321,50,-4905.33813153803
55,8,55,-6451.8560750074,55,-1848.79684761962,55,1549.49797507075,55,-4505.1349032736
55,8,60,-6140.27368937935,60,-2732.70863836534,60,1738.00345911657,60,-4092.83809157874
55,8,65,-5725.80866232774,65,-3425.43492346313,65,1804.45812025652,65,-3711.11692823169
55,8,70,-5262.75684789954,70,-3951.82939259034,70,1752.8337643692,70,-3389.5771991637
55,8,75,-4807.50440778872,75,-4347.88913546775,75,1590.4027994232,75,-3141.74106531858
55,8,80,-4414.77579048421,80,-4651.26926710297,80,1327.06418403695,80,-2963.03070430143
55,8,85,-4132.52928768222,85,-4892.65408342947,85,975.681338212228,85,-2831.0230866402
55,8,90,-3996.48689144223,90,-5089.55050213985,90,552.669865413514,90,-2708.89884568278
60,8,0,3899.07920029108,0,8196.46875844614,0,-3556.73068217809,0,1047.03490894427
60,8,5,2145.69305957196,5,8677.22227345043,5,-3333.7279731379,5,-571.0842613789
60,8,10,339.657336532145,10,8639.05958468071,10,-2941.47966567821,10,-2111.26062026443
60,8,15,-1415.11390309223,15,8129.66472465233,15,-2427.55991454706,15,-3447.96630901313
60,8,20,-3026.66471749847,20,7225.75555795372,20,-1833.79536329999,20,-4495.21054178567
60,8,25,-4421.67077953606,25,6020.69733911698,25,-1194.98065251791,25,-5210.57377253968
60,8,30,-5549.30333836752,30,4614.71005840686,30,-541.923048080041,30,-5592.65260474092
60,8,35,-6382.3903285124,35,3108.13208343806,35,94.6643120618433,35,-5673.53144987985
60,8,40,-6916.10224026478,40,1596.35509953369,40,682.851918941892,40,-5508.41120328572
60,8,45,-7164.67571267549,45,164.47166587682,45,1191.94196227031,45,-5164.69886999045
60,8,50,-7157.20261194484,50,-1119.2377296336,50,1596.98524884706,50,-4712.56565593766
60,8,55,-6933.83108506726,55,-2209.87321151877,55,1882.2917743428,55,-4218.09564963755
60,8,60,-6543.30669281786,60,-3090.01054690729,60,2041.83915537456,60,-3738.88058415805
60,8,65,-6041.65719832805,65,-3768.99170388068,65,2076.8109151604,65,-3320.89220505406
60,8,70,-5490.77266060343,70,-4276.81702131062,70,1992.25868110658,70,-2995.35653463284
60,8,75,-4955.50306199892,75,-4654.21050672903,75,1794.94993579405,75,-2775.30393161751
60,8,80,-4498.77262716795,80,-4941.74376843584,80,1493.21789449241,80,-2652.83991879226
60,8,85,-4175.35755582797,85,-5170.78234657837,85,1098.2564933527,85,-2598.97053390684
60,8,90,-4025.6032728101,90,-5357.82070191842,90,625.652323467931,90,-2567.39138294278
65,8,0,3922.14996823573,0,8244.15790812965,0,-3663.44051024344,0,800.359947838659
65,8,5,2106.20016512231,5,8707.87027699237,5,-3342.88383781278,5,-938.767127439818
65,8,10,216.986184086835,10,8643.36492232352,10,-2856.23296239487,10,-2552.26712932268
65,8,15,-1628.02158928648,15,8104.69988262361,15,-2261.02346000665,15,-3908.37634896593
65,8,20,-3325.00921678219,20,7173.49753494541,20,-1604.54953677218,20,-4922.58886749672
65,8,25,-4792.01500600377,25,5945.34204879313,25,-922.650502733628,25,-5560.48442062815
65,8,30,-5973.10649877222,30,4520.08914103437,30,-244.308333784322,30,-5833.08591845557
65,8,35,-6838.84674660683,35,2996.49739879593,35,402.483886927792,35,-5786.86732043445
65,8,40,-7383.87232565868,40,1468.93984526863,40,988.175417195773,40,-5491.04354850522
65,8,45,-7622.77043461106,45,23.0463462874714,45,1484.07793642995,45,-5024.89934286838
65,8,50,-7585.70258204624,50,-1271.25563872563,50,1867.55278252571,50,-4467.47515663249
65,8,55,-7315.0908376996,55,-2367.77858612389,55,2125.91425802365,55,-3890.7707855412
65,8,60,-6863.83170866789,60,-3249.46381884406,60,2256.37983816098,60,-3356.01553896256
65,8,65,-6294.20130888728,65,-3927.74673597445,65,2262.56387717048,65,-2911.27923792265
