valid_count,total_count,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,freq_ghz,phi_deg,linear_pol_deg,strategy,strategy_note,baseline
72,73,98.63013698630137,370.9822223545249,-14.55707010824861,345.4429298917514,60.563380281690144,-37.237974405386815,76.61533248286244,54.179576225872125,177.08684073946876,7.738,60.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
72,73,98.63013698630137,360.00000000000006,-15.066539901537226,344.93346009846283,66.19718309859155,-37.169759669852645,68.97900375745272,45.01517175447314,166.80553580422333,7.738,60.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
72,73,98.63013698630137,333.6212377578878,-14.725985975983406,-14.725985975983406,63.38028169014085,-38.951251526867146,45.56574885679024,28.363955649251217,177.49239845432828,7.738,60.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
73,73,100.0,580.231355185556,24.882594547002327,-335.1174054529977,52.77777777777778,-29.38532535807244,0.0,0.0,0.0,7.738,60.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
72,73,98.63013698630137,379.018331800719,-2.7071356350782025,-2.707135635078231,52.11267605633803,-37.22340714415558,75.7115287970307,58.66746723148421,164.56218772809888,7.738,60.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,359.99999999999994,15.258822559881935,375.2588225598819,95.83333333333333,-33.48322201843036,61.09923013707345,40.419770142580134,176.20551031785766,7.738,60.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
72,73,98.63013698630137,465.4575849240814,19.434282337979823,-340.5657176620202,53.521126760563384,-38.951251526867146,45.06333245212108,26.367020025527193,158.94709192716414,7.738,60.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,485.0726113655286,-19.186665125151478,-19.186665125151507,59.72222222222222,-27.328862948066398,0.0,0.0,0.0,7.738,60.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,705.7530160875913,-18.46706214609216,341.5329378539078,59.72222222222222,-23.210292591940252,62.827958190259274,47.40570535745844,175.9658954013164,7.738,60.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,360.0,-20.041425998874274,-380.0414259988743,69.44444444444444,-33.48322201843036,60.82133611336632,41.86880200431491,171.60515067064125,7.738,60.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
72,73,98.63013698630137,383.39892396210826,-19.973608930947734,-19.973608930947762,57.74647887323944,-35.25230878602311,39.59451092509778,23.023605468071658,166.5015736825236,7.738,60.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,484.7746171142222,-11.41450542569001,-371.41450542569,61.111111111111114,-27.353737492403308,0.0,0.0,0.0,7.738,75.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,449.4185194604038,10.963039912737884,-349.0369600872621,59.72222222222222,-29.368719530066144,63.8831357595864,48.63194502657867,163.84663865785757,7.738,75.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,131.60615948234982,3.188019647467229,3.188019647467229,50.0,-29.168178268299833,96.7883732338511,75.65184120061518,178.9018231027905,7.738,75.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,303.96240489463423,-0.9104578213068351,-0.9104578213068351,54.166666666666664,-32.21308549126249,59.721327943359036,39.69903568004857,172.5497211087793,7.738,75.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
72,73,98.63013698630137,832.3154489667785,15.494969141356194,-344.5050308586438,57.74647887323944,-38.26225221934746,0.0,0.0,0.0,7.738,75.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,479.9701786902285,-6.4074710338664715,-6.4074710338664715,59.72222222222222,-17.302505100893768,59.230441800859445,45.685041472433774,163.03537941376567,7.738,75.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,471.9218377379331,1.8948799764325202,1.8948799764325486,56.94444444444444,-19.369413889902045,63.044043234506134,46.39297984368536,179.13304437051474,7.738,75.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,467.31559249137104,6.232465260950335,6.232465260950335,54.166666666666664,-25.81016630916295,62.512838616672795,42.98124562888111,178.70076733319132,7.738,75.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,386.2170894767849,1.0156242682851087,1.0156242682851087,62.5,-32.70501731737117,0.0,0.0,0.0,7.738,75.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,360.0,26.161900460934646,-333.83809953906535,81.94444444444444,-22.201097646233293,57.981484431559316,40.943518249475034,168.40770482045866,7.738,75.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,299.67757963314904,18.151405257869783,18.151405257869783,73.61111111111111,-29.740174765965893,70.89212433438406,46.321917178535976,178.33289733383975,7.738,75.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,282.7445325237282,13.64940924004685,13.649409240046822,65.27777777777777,-29.354548442541706,73.8363551975443,46.340311430546855,177.07045357451486,7.738,75.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
72,73,98.63013698630137,641.796297915796,-12.430129693975118,-372.4301296939751,50.70422535211268,-35.48322772511336,0.0,0.0,0.0,7.738,75.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
73,73,100.0,313.1256045629825,-15.198860548196762,-15.198860548196762,56.94444444444444,-30.472166768532453,69.7703426038605,48.00431336276485,166.11616038809007,7.738,75.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
73,73,100.0,290.2303172431302,-14.963385610402554,-14.963385610402554,61.111111111111114,-26.105404164777227,87.50458366549455,59.87042829666244,177.33285588465452,7.738,75.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
73,73,100.0,344.27975085574553,-14.559867061353685,-14.559867061353657,54.166666666666664,-32.21308549126249,81.74058870686275,55.8129528731963,178.02330345261697,7.738,75.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
72,73,98.63013698630137,352.25381469903675,27.925098835331312,27.925098835331312,50.70422535211268,-41.04046262708965,0.0,0.0,0.0,7.738,75.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,348.3585321105031,8.79138951433032,8.791389514330291,66.66666666666667,-30.195426707938505,53.31687783552623,35.88007767616263,174.71137319162577,7.738,75.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,257.33039503256447,16.858265586835103,16.858265586835074,66.66666666666667,-26.02443610225898,68.92108788419984,43.96737880205938,179.81543759410084,7.738,75.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,297.9779247081522,20.79233232230399,20.79233232230399,56.94444444444444,-32.21308549126249,68.40090587947469,44.730198544606324,160.54616985371013,7.738,75.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
72,73,98.63013698630137,629.353991137255,-16.51059340964133,343.48940659035867,60.563380281690144,-38.106103609268295,0.0,0.0,0.0,7.738,75.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,621.8738401618662,-19.754429427068203,340.2455705729318,52.77777777777778,-21.924357585639353,54.092724285433455,38.2477647106618,167.2743905616539,7.738,75.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,325.4794170303045,-20.046285234302303,-20.046285234302303,62.5,-29.659206703447644,56.400008059614294,38.156899968472196,163.4449545043534,7.738,75.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,367.1486580781089,-19.881874500997185,-19.881874500997156,56.94444444444444,-29.053091932705506,58.8216108398417,39.289404367803535,170.09634559934216,7.738,75.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
72,73,98.63013698630137,287.46071428195205,16.35443098170458,16.35443098170458,54.929577464788736,-46.178697900533365,0.0,0.0,0.0,7.738,90.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,368.26745382568225,7.016771721620501,-352.9832282783795,72.22222222222223,-28.223338698458086,67.74062557206747,50.66776915927026,179.2686171800342,7.738,90.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
72,73,98.63013698630137,149.1550185241121,1.8436661711263014,1.8436661711263298,73.2394366197183,-45.215878040275044,96.81772225244734,80.59622030709508,179.40739986075243,7.738,90.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
72,73,98.63013698630137,526.8396604010172,-2.7822196350600166,-362.78221963505996,71.83098591549296,-39.16257483969271,71.75222011993175,54.94869666957382,179.8250269372732,7.738,90.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,519.8139055916654,-43.851988064529735,-43.851988064529735,51.388888888888886,-23.93685742864566,0.0,0.0,0.0,7.738,90.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,493.51810772470446,-2.1959902011628287,-2.1959902011628287,56.94444444444444,-20.3204985066265,60.79322127326753,41.40825689198681,171.42659196461295,7.738,90.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,490.9838155058609,3.3261673557682343,3.3261673557682627,55.55555555555556,-18.702677376961827,62.907074802669,41.97267911632311,176.4409108293358,7.738,90.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,487.7955791297426,8.170383548624528,8.170383548624528,52.77777777777778,-20.110914663590314,61.10001717339441,40.246602933585464,175.83261015651115,7.738,90.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,294.6560588907911,25.02379450254375,25.023794502543723,56.94444444444444,-22.432022986320128,0.0,0.0,0.0,7.738,90.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,362.4949627997802,22.179303629550333,-337.8206963704497,72.22222222222223,-25.294991661542888,68.36377270184667,49.39454499218603,179.71592544988857,7.738,90.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
72,73,98.63013698630137,360.00000000000006,16.697042033893865,-343.3029579661062,67.6056338028169,-45.50294433161096,56.081389855311166,44.04801979889056,139.50121257479242,7.738,90.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,360.0,11.523588015827102,-348.4764119841729,69.44444444444444,-28.907820686808606,54.628892109126774,44.40950525134358,156.5332750686943,7.738,90.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
72,73,98.63013698630137,351.0364206106383,-8.66936352083917,-8.669363520839141,56.33802816901409,-44.05728233794812,0.0,0.0,0.0,7.738,90.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
73,73,100.0,302.2677097331623,-15.162531907929832,-15.162531907929775,58.333333333333336,-28.83370229313861,79.69583380431871,61.93483006981751,179.73282608990712,7.738,90.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
