case,active_pol,freq_ghz,theta_deg,phi_deg,linear_pol_deg,baseline,left_source,right_source,left_mag,right_mag,pdoa_deg,left_mag_rel_db,right_mag_rel_db,valid,phase_error_vs_pol0_deg,reference_phase_slope_deg_per_az_deg,azimuth_error_equiv_deg,pdoa_unwrapped_deg
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,225.000000,0.000000,E1-E3,P1A,P3A,1187.749671,1446.365769,126.782331,-9.292709,-7.581645,True,0.000000,-2.163137,-0.000000,-233.217669
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,230.000000,0.000000,E1-E3,P1A,P3A,1143.352840,1432.465618,116.246833,-9.623602,-7.665523,True,0.000000,-2.043480,-0.000000,-243.753167
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,235.000000,0.000000,E1-E3,P1A,P3A,1093.666275,1415.867387,106.347532,-10.009511,-7.766756,True,0.000000,-1.919234,-0.000000,-253.652468
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,240.000000,0.000000,E1-E3,P1A,P3A,1044.159251,1394.701135,97.054494,-10.411872,-7.897584,True,0.000000,-1.802957,-0.000000,-262.945506
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,245.000000,0.000000,E1-E3,P1A,P3A,1001.534243,1369.732172,88.317958,-10.773891,-8.054494,True,0.000000,-1.689809,-0.000000,-271.682042
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,250.000000,0.000000,E1-E3,P1A,P3A,972.270522,1343.803596,80.156404,-11.031465,-8.220491,True,0.000000,-1.560507,-0.000000,-279.843596
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,255.000000,0.000000,E1-E3,P1A,P3A,961.668998,1320.911988,72.712891,-11.126695,-8.369730,True,0.000000,-1.390882,-0.000000,-287.287109
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,260.000000,0.000000,E1-E3,P1A,P3A,973.328479,1305.375637,66.247588,-11.022019,-8.472497,True,0.000000,-1.165426,-0.000000,-293.752412
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,265.000000,0.000000,E1-E3,P1A,P3A,1008.988664,1301.225217,61.058626,-10.709482,-8.500158,True,0.000000,-0.887370,-0.000000,-298.941374
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,270.000000,0.000000,E1-E3,P1A,P3A,1068.742193,1311.744748,57.373891,-10.209748,-8.430221,True,0.000000,-0.577546,-0.000000,-302.626109
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,275.000000,0.000000,E1-E3,P1A,P3A,1151.511503,1339.073825,55.283169,-9.561842,-8.251117,True,0.000000,-0.262865,nan,-304.716831
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,280.000000,0.000000,E1-E3,P1A,P3A,1255.532303,1383.864907,54.745244,-8.810649,-7.965333,True,0.000000,0.036408,nan,-305.254756
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,285.000000,0.000000,E1-E3,P1A,P3A,1378.616715,1445.054075,55.647254,-7.998336,-7.589525,True,0.000000,0.312511,nan,-304.352746
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,290.000000,0.000000,E1-E3,P1A,P3A,1518.157504,1519.792976,57.870357,-7.160871,-7.151519,True,0.000000,0.568415,0.000000,-302.129643
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,295.000000,0.000000,E1-E3,P1A,P3A,1671.000738,1603.541392,61.331402,-6.327674,-6.685604,True,0.000000,0.812569,0.000000,-298.668598
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,300.000000,0.000000,E1-E3,P1A,P3A,1833.369634,1690.308172,65.996051,-5.522207,-6.227889,True,0.000000,1.054258,0.000000,-294.003949
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,305.000000,0.000000,E1-E3,P1A,P3A,2000.987056,1773.073430,71.873986,-4.762322,-5.812673,True,0.000000,1.301295,0.000000,-288.126014
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,310.000000,0.000000,E1-E3,P1A,P3A,2169.456363,1844.472114,79.009002,-4.060189,-5.469765,True,0.000000,1.559796,0.000000,-280.990998
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,315.000000,0.000000,E1-E3,P1A,P3A,2334.834934,1897.795559,87.471946,-3.422084,-5.222219,True,0.000000,1.834905,0.000000,-272.528054
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,320.000000,0.000000,E1-E3,P1A,P3A,2494.189114,1928.254833,97.358049,-2.848620,-5.083919,True,0.000000,2.131189,0.000000,-262.641951
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,325.000000,0.000000,E1-E3,P1A,P3A,2645.828360,1934.306140,108.783839,-2.335974,-5.056703,True,0.000000,2.451439,0.000000,-251.216161
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,330.000000,0.000000,E1-E3,P1A,P3A,2789.006934,1918.735541,121.872442,-1.878215,-5.126905,True,0.000000,2.792662,0.000000,-238.127558
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,335.000000,0.000000,E1-E3,P1A,P3A,2923.198803,1889.111226,136.710456,-1.470040,-5.262057,True,0.000000,3.138989,0.000000,-223.289544
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,340.000000,0.000000,E1-E3,P1A,P3A,3047.397775,1857.030102,153.262337,-1.108624,-5.410828,True,0.000000,3.454651,0.000000,-206.737663
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,345.000000,0.000000,E1-E3,P1A,P3A,3159.903553,1835.445713,171.256969,-0.793731,-5.512376,True,0.000000,3.686078,0.000000,-188.743031
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,350.000000,0.000000,E1-E3,P1A,P3A,3258.589331,1833.994011,-169.876888,-0.526615,-5.519249,True,0.000000,3.782269,0.000000,-169.876888
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,355.000000,0.000000,E1-E3,P1A,P3A,3341.139031,1854.177790,-150.920343,-0.309316,-5.424180,True,0.000000,3.725389,0.000000,-150.920343
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,360.000000,0.000000,E1-E3,P1A,P3A,3404.861770,1887.790945,-132.623002,-0.145218,-5.268129,True,0.000000,3.659468,0.000000,-132.623002
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,0.000000,45.000000,E1-E3,P1A,P3A,2253.067587,1598.565025,-4.571612,-3.731723,-6.712601,True,128.051389,3.429610,37.337009,-4.571612
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,5.000000,45.000000,E1-E3,P1A,P3A,2317.101392,1601.581914,8.099538,-3.488307,-6.696224,True,123.574489,3.298822,37.460183,8.099538
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,10.000000,45.000000,E1-E3,P1A,P3A,2365.128649,1572.364739,20.559348,-3.310112,-6.856141,True,120.194126,3.047538,39.439745,20.559348
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,15.000000,45.000000,E1-E3,P1A,P3A,2391.835745,1520.028949,32.898638,-3.212580,-7.150170,True,117.898207,2.830585,41.651530,32.898638
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,20.000000,45.000000,E1-E3,P1A,P3A,2394.729392,1455.156994,45.166116,-3.202078,-7.529010,True,116.495042,2.664139,43.727091,45.166116
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,25.000000,45.000000,E1-E3,P1A,P3A,2373.971426,1386.914510,57.303350,-3.277698,-7.946213,True,115.661531,2.545912,45.430290,57.303350
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,30.000000,45.000000,E1-E3,P1A,P3A,2331.357049,1321.022749,69.117949,-3.435031,-8.369001,True,114.987752,2.464372,46.660066,69.117949
