case,active_pol,freq_ghz,theta_deg,linear_pol_deg,baseline,valid_count,total_count,valid_percent,pdoa_span_unwrapped_deg,phase_error_rms_deg,phase_error_mean_abs_deg,phase_error_p95_abs_deg,phase_error_max_abs_deg,azimuth_error_rms_equiv_deg,azimuth_error_p95_abs_equiv_deg,azimuth_error_max_abs_equiv_deg,azimuth_error_sample_count
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,0.000000,E2-E4,73,73,100.000000,473.968649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,45.000000,E2-E4,73,73,100.000000,521.290537,83.617972,78.928364,110.095519,113.724754,42.993162,85.225196,133.767372,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,90.000000,E2-E4,73,73,100.000000,720.000000,144.666070,139.422567,173.623531,178.760372,77.958391,163.801395,263.962216,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,135.000000,E2-E4,73,73,100.000000,360.000000,87.335064,81.285452,152.719965,173.583499,49.151231,101.455626,172.830884,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,0.000000,E1-E2,73,73,100.000000,239.396452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,45.000000,E1-E2,73,73,100.000000,230.555211,28.384120,22.759848,49.777428,50.270818,29.312901,61.900906,86.924662,69
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,90.000000,E1-E2,73,73,100.000000,392.091250,66.262946,46.834702,153.278675,175.381936,73.069853,177.945836,293.758445,69
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,135.000000,E1-E2,73,73,100.000000,385.927649,56.734875,41.731087,143.661829,177.701629,60.666063,110.993661,310.314424,69
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,0.000000,E2-E3,73,73,100.000000,434.066572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,45.000000,E2-E3,73,73,100.000000,430.767232,97.926997,87.912251,162.564268,179.322045,43.523225,80.334170,128.133922,68
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,90.000000,E2-E3,72,73,98.630137,321.600724,124.566918,113.938174,174.429628,179.537566,61.696201,96.974172,169.398766,67
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,135.000000,E2-E3,73,73,100.000000,360.000000,108.518665,99.391295,157.486933,178.516126,50.984305,86.307592,129.061713,68
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,0.000000,E3-E4,73,73,100.000000,107.562959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,45.000000,E3-E4,73,73,100.000000,224.688718,51.459305,31.640324,142.863462,152.039948,63.924312,194.465759,280.021214,53
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,90.000000,E3-E4,72,73,98.630137,387.730575,68.719067,55.786541,113.454402,162.937557,86.748953,185.473716,218.233341,53
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,135.000000,E3-E4,73,73,100.000000,173.833723,46.152982,37.814236,93.996485,100.419424,46.031261,95.301512,139.737538,53
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,0.000000,E4-E1,73,73,100.000000,278.692866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,45.000000,E4-E1,73,73,100.000000,309.964413,81.280905,75.154439,111.841512,114.668679,58.841315,97.677905,174.505943,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,90.000000,E4-E1,73,73,100.000000,500.042215,149.290869,147.481295,173.537232,179.101957,120.650179,264.335053,298.899068,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,135.000000,E4-E1,73,73,100.000000,400.665417,70.160036,64.405434,115.914841,128.901904,51.715256,85.125028,169.502316,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,0.000000,E1-E3,72,73,98.630137,119.056754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,45.000000,E1-E3,73,73,100.000000,277.007446,104.115043,94.475329,162.287330,171.883932,141.117021,293.902771,299.256516,27
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,90.000000,E1-E3,73,73,100.000000,56.945786,165.846517,165.375195,178.858685,179.390662,199.864113,309.401150,316.819116,27
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,135.000000,E1-E3,72,73,98.630137,384.171925,115.710959,106.592695,167.912292,178.436313,158.271857,259.002285,308.129687,26
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,0.000000,E2-E4,72,73,98.630137,449.479564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,45.000000,E2-E4,73,73,100.000000,360.000000,103.248518,97.967697,148.538885,177.241185,57.701391,114.149935,225.975048,66
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,90.000000,E2-E4,73,73,100.000000,720.000000,141.274059,136.036303,173.340521,177.672920,68.150806,137.531577,199.574915,66
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,135.000000,E2-E4,73,73,100.000000,360.000000,78.039737,71.046495,126.784137,165.676122,44.259558,96.197179,176.705124,66
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,0.000000,E1-E2,72,73,98.630137,264.129321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,64
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,45.000000,E1-E2,73,73,100.000000,334.526910,55.040264,37.984892,168.521677,179.024357,31.958956,71.455887,111.012281,64
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,90.000000,E1-E2,73,73,100.000000,425.818826,66.281249,49.827674,145.774300,161.486268,46.727469,103.696523,195.317516,64
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,135.000000,E1-E2,73,73,100.000000,387.955555,45.822986,35.919604,94.350139,160.648446,28.060794,50.323678,116.850037,64
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,0.000000,E2-E3,71,73,97.260274,332.741747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,45.000000,E2-E3,73,73,100.000000,418.050591,97.765598,90.562692,145.656641,173.942547,61.427008,103.273935,142.942911,62
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,90.000000,E2-E3,73,73,100.000000,435.179642,135.854951,128.625975,164.165571,172.719648,91.267354,144.008463,203.722810,62
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,135.000000,E2-E3,72,73,98.630137,720.000000,115.703903,104.744455,170.484611,176.312834,85.448716,170.306736,257.787001,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,0.000000,E3-E4,72,73,98.630137,264.789950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,45.000000,E3-E4,73,73,100.000000,457.271408,49.753820,35.623261,114.113665,177.259928,53.280019,126.727647,172.525670,53
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,90.000000,E3-E4,73,73,100.000000,382.396607,52.555777,44.693585,93.125712,141.928722,58.190688,145.879162,234.884394,53
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,135.000000,E3-E4,72,73,98.630137,508.230612,63.149786,50.655755,126.700161,141.158673,54.544630,97.008445,259.549416,53
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,0.000000,E4-E1,73,73,100.000000,224.478423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,64
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,45.000000,E4-E1,73,73,100.000000,360.000000,105.842450,99.090441,154.580905,176.094343,108.420265,212.854213,225.788417,64
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,90.000000,E4-E1,73,73,100.000000,372.682643,141.461478,138.858645,166.322306,179.871444,140.600239,247.549198,275.444608,64
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,135.000000,E4-E1,73,73,100.000000,350.283540,64.385451,58.781625,100.006701,101.843368,66.381000,146.236810,164.511801,64
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,0.000000,E1-E3,73,73,100.000000,352.538883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,45.000000,E1-E3,73,73,100.000000,631.935254,76.954053,70.143063,113.723266,165.838115,52.644115,96.672393,177.511785,68
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,90.000000,E1-E3,73,73,100.000000,619.514353,144.712716,140.412029,177.726313,179.633403,96.307035,168.562685,265.974860,68
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,135.000000,E1-E3,73,73,100.000000,450.273545,72.395619,67.369091,102.595859,103.760413,43.956749,87.686872,98.770950,68
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,0.000000,E2-E4,73,73,100.000000,384.839497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,45.000000,E2-E4,73,73,100.000000,687.113328,103.742053,85.852562,174.427300,178.036794,59.844384,94.024234,248.647018,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,90.000000,E2-E4,72,73,98.630137,519.267898,99.691575,93.196869,162.201587,179.188577,52.369660,91.620520,129.642603,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,135.000000,E2-E4,73,73,100.000000,392.815408,78.334828,63.032400,153.922511,161.060229,34.898884,68.767427,82.886717,69
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,0.000000,E1-E2,73,73,100.000000,26.877760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6
B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,45.000000,E1-E2,73,73,100.000000,58.080577,21.171235,17.447762,44.083864,47.713187,39.630846,60.562143,60.562143,6
