case,active_pol,off_resistance_ohm,off_capacitance_pf,freq_ghz,phi_deg,linear_pol_deg,channel_set,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,mean_abs_slope_deg_per_deg,slope_std_deg_per_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,45.000000,A_feed_only,E3-E4,100.000000,360.000000,-177.958088,182.041912,1.699545,2.437734,86.111111,-33.250561,111.043782,98.604371,176.550799,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,90.000000,A_feed_only,E3-E4,100.000000,99.869330,172.906001,172.906001,0.827435,1.600037,69.444444,-25.189291,95.250948,87.695962,157.728325,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,135.000000,A_feed_only,E3-E4,100.000000,110.906984,-179.690361,-179.690361,0.975402,1.108008,51.388889,-12.664968,66.312483,60.180805,124.849758,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,0.000000,A_feed_only,E4-E1,100.000000,360.000000,-74.432699,-434.432699,1.933384,2.205813,77.777778,-19.108813,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,45.000000,A_feed_only,E4-E1,100.000000,436.286313,-67.485082,-67.485082,2.423813,3.770376,61.111111,-33.250561,79.400270,59.356369,167.382506,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,90.000000,A_feed_only,E4-E1,100.000000,400.462145,-44.542776,-404.542776,2.687768,3.057905,58.333333,-30.966190,98.696411,82.110282,179.659292,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,135.000000,A_feed_only,E4-E1,100.000000,360.000000,-11.757609,-371.757609,1.715526,3.054196,61.111111,-31.576348,78.397649,65.766544,169.813850,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,0.000000,A_feed_only,E1-E3,100.000000,392.328691,-143.904188,216.095812,1.464354,2.219415,72.222222,-21.377251,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,45.000000,A_feed_only,E1-E3,98.630137,149.583590,-115.672810,-115.672810,1.540655,2.851811,56.338028,-36.699839,71.963243,58.481799,169.723976,72,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,75.000000,90.000000,A_feed_only,E1-E3,100.000000,235.920102,-139.195804,-139.195804,1.319751,1.520063,56.944444,-27.293488,68.294149,57.335584,161.142754,73,73
