case,active_pol,off_resistance_ohm,off_capacitance_pf,freq_ghz,phi_deg,theta_deg,linear_pol_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,220.000000,45.000000,A_feed_only,E1-E3,62.513647,-297.486353,-14.211054,-11.337990,True,603.058443,839.484286
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,225.000000,45.000000,A_feed_only,E1-E3,40.299124,-319.700876,-15.097625,-12.325891,True,544.541333,749.234134
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,230.000000,45.000000,A_feed_only,E1-E3,16.320513,-343.679487,-15.778585,-13.314489,True,503.480689,668.632707
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,235.000000,45.000000,A_feed_only,E1-E3,-8.654930,-368.654930,-16.150839,-14.287996,True,482.358691,597.739935
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,240.000000,45.000000,A_feed_only,E1-E3,-33.713995,-393.713995,-16.206569,-15.219201,True,479.273750,536.972508
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,245.000000,45.000000,A_feed_only,E1-E3,-58.341978,-418.341978,-16.031561,-16.047057,True,489.028323,488.156689
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,250.000000,45.000000,A_feed_only,E1-E3,-82.511956,-442.511956,-15.737286,-16.648026,True,505.880329,455.523504
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,255.000000,45.000000,A_feed_only,E1-E3,-106.070691,-466.070691,-15.402178,-16.836648,True,525.778916,445.738019
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,260.000000,45.000000,A_feed_only,E1-E3,-128.045935,-488.045935,-15.056040,-16.457670,True,547.154605,465.616714
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,265.000000,45.000000,A_feed_only,E1-E3,-146.928780,-506.928780,-14.689807,-15.526837,True,570.718226,518.286879
